year,sampleId,farmName,producerName,producerId,fieldName,fieldId,county,longitude,latitude,crop,texture,totalN_%,totalC_%,TOC_%,OM_%,poxC_mg.kg,96hrminC_mgC.kg.day,ammN_mg.kg,nitrateN_mg.kg,ace_g.protein.kg.soil,pmN_mg.kg,pmN_lbs.ac,EC_mmhos.cm,olsenP_mg.kg,K_mg.kg,Ca_cmolc.kg,Ca_mg.kg,Mg_cmolc.kg,Mg_mg.kg,Na_cmolc.kg,Na_mg.kg,CEC_meq.100g,Zn_mg.kg,Mn_mg.kg,Cu_mg.kg,Fe_mg.kg,S_mg.kg,B_mg.kg,bd_g.cm3,wsa_%,WHC_in.ft,sand_%,clay_%,silt_%,moisture_%,pH,inorganicC_%,24hrminC_mgC.kg.day
2022,B010105,Farm 01,Name 01,1,Field 05,5,B,-120,50,Hops,Loam,0.09,0.83,0.83,1.6,321,13.5,12,17.8,0.02,0.1,0.39,1.17,28,256,11.6,2320,2.8,338.8,0.14,32.2,10.3,3.1,6.3,1.2,31,11.1,0.24,1.44,92.7,1.69,47,9,44,23.63,7,NA,0
2022,B010106,Farm 01,Name 01,1,Field 06,6,B,-120,50,Hops,Sandy Loam,0.1,0.9,0.78,2.2,362,25.5,15.9,18.2,4.31,25.1,93.33,1.51,26,234,11.2,2240,2.3,278.3,0.19,43.7,8.9,2.4,6.6,1.5,28,17.42,0.24,1.37,98.7,1.43,57,7,36,21.8,7.3,0.12,3.8
2020,F050501,Farm 05,Name 05,5,Field 01,1,F,-120,50,Potato,Sandy Loam,0.03,0.38,NA,NA,286.06,NA,0.06,9.13,0.5,9.2,34.51,0.91,NA,133,NA,860,NA,266.2,NA,50.6,6.6,3.3,8.9,0.6,13,20.41,0.22,1.38,NA,NA,78,12,10,NA,6.8,NA,38.52
2020,F050502,Farm 05,Name 05,5,Field 02,2,F,-120,50,Potato,Loam,0.06,0.63,NA,NA,690.08,NA,0.06,9.04,0.7,9.1,28.63,1.12,NA,206,NA,2000,NA,387.2,NA,62.1,10.2,2.5,5.5,0.9,21,27.19,0.28,1.16,NA,NA,50,14,36,NA,7.4,NA,49.5
2020,F050503,Farm 05,Name 05,5,Field 03,3,F,-120,50,Potato,Sandy Loam,0.05,0.51,NA,NA,762.73,NA,0.11,7.16,0.8,7.27,26.85,1.09,NA,176,NA,980,NA,314.6,NA,80.5,7.8,4.7,9.8,1,20,29.03,0.35,1.36,NA,NA,64,12,24,NA,6.6,NA,34
2020,B020201,Farm 02,Name 02,2,Field 01,1,B,-120,50,Potato,Silt Loam,0.05,0.48,NA,NA,247.97,NA,0.06,4.95,0.7,5.01,17.72,0.86,NA,397,NA,1500,NA,363,NA,43.7,12.3,1.5,18.4,1.7,31,40.37,0.31,1.16,NA,NA,30,14,56,NA,6.2,NA,35.51
2020,B020202,Farm 02,Name 02,2,Field 02,2,B,-120,50,Potato,Loam,0.05,0.56,NA,NA,619.2,NA,-0.05,15.62,0.9,15.57,49.33,0.83,NA,284,NA,1360,NA,326.7,NA,46,11.5,2.2,25.7,2.2,36,46.43,0.97,1.16,NA,NA,40,16,44,NA,5.7,NA,28.86
2020,B020203,Farm 02,Name 02,2,Field 03,3,B,-120,50,Potato,Silt Loam,0.08,0.65,NA,NA,328.55,NA,0.06,15.24,0.7,15.3,46.22,3.33,NA,249,NA,2620,NA,290.4,NA,62.1,12.7,2.8,6.6,1.3,16,75.97,0.29,1.11,NA,NA,36,14,50,NA,7.1,NA,58.1
2021,W101001,Farm 10,Name 10,10,Field 01,1,W,-120,50,"Bean, Garbanzo",Silt Loam,0.15,2.04,NA,NA,593.03,NA,-0.24,8,2.55,7.76,24.41,0.39,NA,388,NA,1940,NA,242,NA,11.5,0,0.4,28,1.4,71,9.56,0.34,1.16,NA,NA,12,24,64,NA,5.5,NA,43.09
2021,W101002,Farm 10,Name 10,10,Field 02,2,W,-120,50,"Bean, Garbanzo",Silty Clay Loam,0.15,2.32,NA,NA,673.19,NA,-0.24,9.89,3.32,9.65,30.69,0.36,NA,286,NA,2360,NA,387.2,NA,13.8,0.1,0.4,19.8,1.5,49,7.48,0.23,1.17,NA,NA,12,34,54,NA,5.7,NA,40.48
2021,W080801,Farm 08,Name 08,8,Field 01,1,W,-120,50,"Bean, Garbanzo",Silt Loam,0.15,2.04,NA,NA,652.88,NA,-0.25,12.14,2,11.89,44.02,0.39,NA,222,NA,2880,NA,387.2,NA,18.4,0.1,0.4,6,0.9,30,6.25,0.28,1.36,NA,NA,12,26,62,NA,6.4,NA,45.3
2021,W080802,Farm 08,Name 08,8,Field 02,2,W,-120,50,Pea,Silty Clay Loam,0.15,2.08,NA,NA,538.88,NA,-0.23,10.18,2.66,9.94,30.3,0.39,NA,377,NA,1800,NA,217.8,NA,6.9,0,0.5,23.1,1.2,58,7.75,0.29,1.12,NA,NA,12,28,60,NA,5.6,NA,49.84
2021,W090901,Farm 09,Name 09,9,Field 01,1,W,-120,50,"Bean, Garbanzo",Silty Clay Loam,0.11,1.37,NA,NA,411.61,NA,-0.24,7.89,2.53,7.65,29.16,0.49,NA,180,NA,2020,NA,399.3,NA,11.5,0,0.5,19.6,1.2,62,9.06,0.28,1.4,NA,NA,8,30,62,NA,5.5,NA,30.11
2021,W090902,Farm 09,Name 09,9,Field 02,2,W,-120,50,"Bean, Garbanzo",Silty Clay Loam,0.14,1.92,NA,NA,563.83,NA,-0.25,6.08,2.25,5.83,22.48,0.47,NA,345,NA,2240,NA,326.7,NA,13.8,0.1,0.4,12.7,1.2,54,4.72,0.25,1.42,NA,NA,10,28,62,NA,5.7,NA,29.7
2021,O060601,Farm 06,Name 06,6,Field 01,1,O,-120,50,Apple,Sandy Loam,0.16,2.12,NA,3.64,859.85,38.99,-0.18,39.2,4.62,39.02,169.78,0.49,20,287,NA,9.6,NA,2.3,NA,0.07,12.2,19.4,5.5,1.9,19,17.4,1.12,NA,NA,NA,72,14,14,NA,7.2,NA,96.09
2021,O060602,Farm 06,Name 06,6,Field 02,2,O,-120,50,Apple,Sandy Loam,0.18,2.44,NA,4.2,816.28,42.53,0.03,34.32,4.04,34.35,149.46,0.78,10,250,NA,9.4,NA,2.3,NA,0.1,13,16.4,6.9,2.5,17,13.8,1.41,NA,NA,NA,66,14,20,NA,7.2,NA,99.51
2021,O070701,Farm 07,Name 07,7,Field 01,1,O,-120,50,Apple,Sandy Loam,0.16,2.17,NA,3.73,723.04,40.95,0.94,52.06,3.75,53,167.18,0.68,22,277,NA,9.3,NA,1.7,NA,0.09,11,22.6,2.1,9.2,12,36,0.3,1.16,NA,NA,74,8,18,NA,7,NA,87.66
2021,O070702,Farm 07,Name 07,7,Field 02,2,O,-120,50,Apple,Sandy Loam,0.14,1.59,NA,2.73,594.34,30.38,-0.4,26.75,2.46,26.35,89.56,0.44,20,140,NA,7.1,NA,1.3,NA,0.09,8.8,13.1,1.6,8.2,11,28.6,0.21,1.25,NA,NA,74,8,18,NA,7.1,NA,61.39
2021,Y111101,Farm 11,Name 11,11,Field 01,1,Y,-120,50,Apple,Sandy Loam,0.09,0.88,NA,1.52,419.02,22.94,-0.38,17.09,1.32,16.72,71.37,0.29,37,273,NA,15.9,NA,3,NA,0.11,14.9,4,1.7,1.9,25,4.06,0.26,1.57,NA,NA,62,12,26,NA,7.5,NA,53.82
2021,Y111102,Farm 11,Name 11,11,Field 02,2,Y,-120,50,Apple,Silt Loam,0.12,1.33,NA,2.29,546.26,33.59,0.02,22.3,2.48,22.32,90.42,1.04,63,325,NA,12.7,NA,3.5,NA,0.15,17.2,7.7,7,4,31,42.4,0.48,1.49,NA,NA,34,16,50,NA,6.4,NA,76.25
